deadline,life loan,ITEM_AMOUNT,MONEY_RATE
2015-01-21,365,500000,18
2015-01-08,365,500000,18
2015-05-11,31,500000,14.4
2015-04-29,30,500000,12.2
2015-04-14,30,500000,12.2
2015-04-03,30,500000,12.2
2015-03-10,31,500000,13.2
2015-02-27,28,500000,13.2
2015-02-27,89,500000,16.6
2015-02-12,89,500000,15.6
2015-01-28,90,500000,16
2014-12-24,182,500000,16.8
2014-12-17,182,500000,16.8
2014-12-06,90,500000,15.6
2014-11-28,92,500000,15.6
2014-09-20,90,500000,15.6
2014-10-06,182,500000,16.8
2014-09-23,90,500000,15.6
2014-09-06,170,500000,16.8
2014-08-15,192,500000,16.8
2014-08-03,165,500000,14.4
2014-07-01,107,500000,14
2014-07-05,112,500000,12.6
2014-05-23,81,2000000,15
2015-07-11,366,300000,18
2015-07-14,31,300000,14.4
2015-07-07,31,300000,14.4
2015-06-27,30,300000,14.4
2015-06-21,30,500000,14.4
2015-06-10,30,500000,14.4
2015-05-30,31,500000,14.4
2015-06-13,166,500000,16.8
2014-06-13,91,500000,15
2015-07-04,352,300000,18
2015-06-06,30,500000,14.4
2015-03-24,363,500000,18
2015-02-14,178,500000,16.8
2015-04-26,30,500000,12.2
2015-01-17,365,500000,18
2015-02-26,181,500000,17.8
2015-05-15,31,500000,14.4
2015-04-18,84,400000,15.6
2015-05-15,31,500000,14.4
2015-04-04,366,500000,18
2015-05-07,92,500000,16.6
2015-05-29,31,500000,14.4
2015-03-10,184,500000,17.8
2014-10-01,182,500000,16.8
2015-05-05,92,500000,16.6
2015-04-18,89,500000,15.6
2014-10-16,182,500000,16.8
2015-01-27,90,500000,16
2015-05-11,92,500000,16.6
2015-04-28,360,500000,18
2015-05-19,31,500000,14.4
2015-03-03,184,500000,17.8
2015-03-18,31,500000,12.2
2015-05-18,92,500000,16.6
2014-06-05,68,500000,15
2015-04-03,91,500000,15.6
2015-05-16,366,500000,19
2015-05-19,366,400000,19
2015-03-27,31,500000,12.2
2015-05-26,31,500000,14.4
2015-06-24,177,300000,16.8
2015-03-25,92,500000,15.6
2015-07-05,31,300000,14.4
2014-10-11,182,500000,16.8
2015-03-06,366,500000,19
2015-07-07,181,300000,16.8
2015-04-03,91,500000,15.6
2015-01-28,364,500000,18
2015-02-26,365,500000,19
2015-07-13,31,300000,14.4
2014-11-21,181,500000,16.8
2014-12-24,365,500000,18
2014-08-16,83,1500000,16.8
2015-02-26,27,500000,13.2
2015-06-13,177,500000,16.8
2015-02-05,89,500000,16
2015-03-11,31,500000,13.2
2015-04-11,30,500000,12.2
2015-06-16,92,400000,15.6
2015-01-13,177,500000,16.8
2014-10-01,92,500000,15.6
2014-06-10,128,500000,14
2015-07-11,366,300000,18
2015-04-25,30,500000,12.2
2015-05-26,31,500000,14.4
2014-08-10,89,500000,16.8
2015-01-08,90,500000,15.6
2015-01-28,90,500000,16
2014-09-12,91,500000,15.6
2014-12-06,182,500000,16.8
2014-09-30,91,500000,15.6
2014-09-22,90,500000,15.6
2015-03-18,366,500000,18
2015-05-09,184,500000,17.8
2014-07-26,173,500000,14.4
2015-04-02,91,500000,15.6
2014-07-15,184,500000,14.4
2015-02-17,28,500000,13.2
2015-02-26,89,500000,16.6
2015-05-10,92,500000,16.6
2015-05-09,89,500000,16.6
2015-01-21,356,500000,18
2014-09-27,181,1000000,16.8
2015-04-28,88,500000,15.6
2014-07-19,180,500000,14.4
2015-03-07,184,500000,17.8
2014-12-09,182,500000,16.8
2015-07-04,358,300000,18
2014-04-18,153,5000000,16.8
2014-12-27,90,500000,15.6
2015-07-12,31,300000,14.4
2015-04-11,88,500000,15.6
2014-09-17,91,500000,15.6
2014-06-24,114,500000,14
2015-01-17,181,500000,16.8
2014-12-30,362,500000,18
2015-02-25,89,500000,16.6
2014-09-20,91,500000,15.6
2015-03-07,31,500000,13.2
2014-06-28,110,500000,14
2015-06-28,30,300000,14.4
2014-08-23,98,1000000,15.6
2015-02-26,89,500000,16.6
2015-04-07,30,500000,12.2
2015-02-07,166,500000,16.8
2014-07-04,104,500000,14
2015-03-06,31,500000,13.2
2015-06-07,92,300000,15.6
2014-01-16,90,3000000,18
2015-03-24,31,500000,12.2
2015-01-28,90,500000,16
2014-09-02,174,500000,16.8
2015-06-27,177,300000,16.8
2015-05-22,31,500000,14.4
2015-05-30,359,500000,18
2014-11-27,181,500000,16.8
2015-03-12,184,500000,17.8
2015-02-26,28,500000,13.2
2014-12-17,83,500000,15.6
2015-03-03,31,500000,13.2
2015-02-25,28,500000,13.2
2015-03-18,184,500000,16.8
2014-08-10,89,500000,16.8
2014-10-04,182,500000,16.8
2015-06-20,30,500000,14.4
2015-05-14,92,500000,16.6
2014-12-24,90,500000,15.6
2015-01-30,87,1000000,16
2015-03-19,92,500000,15.6
2015-04-21,30,500000,12.2
2015-04-08,92,400000,15.6
2015-05-13,366,500000,19
2015-07-06,31,300000,14.4
2014-12-02,182,500000,16.8
2014-09-26,91,500000,15.6
2014-12-13,178,500000,16.8
2014-09-02,88,1000000,15.6
