releasetime,fulltime,repaytime,item_name,item_amount,item_status,item_introduction,life_loan,money_rate,loan_type,loan_use,bonding_company,deadline,repaytype,borrower_name,borrower_sex,borrower_age,borrower_education,borrower_marriage,borrower_industry,borrower_city,borrower_income,borrower_house,borrower_car,reward,clean_sample_num,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,life1,life2,life3,life4,life5,life6,life7,life8,life9,life10
0.9988674972,0.0007550019,0,0.9988674972,0.9988674972,0,0,0.9988674972,0.9988674972,0,0.4412986032,0,0.9988674972,0.9988674972,0,0,0,0,0,0,0,0,0,0,0,2646,5.8823529412,7.6764705882,5.4264705882,2.1323529412,2.2794117647,4.6764705882,2.7647058824,2.8382352941,2.0147058824,2.3552631579,28.4393939394,30,30,30,70.4545454545,90,92.7272727273,169.0909090909,180,312.8888888889
0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1902,1.8372093023,2.5581395349,5.3720930233,5,4.9302325581,5.3255813953,6.0930232558,6.0465116279,4.9069767442,1,30,30,39.4444444444,79.0476190476,90,90,90,132.5396825397,150,162.2797927461
0,0,0,1,1,0,0,1,1,0,0.8528428094,0.8528428094,0.9933110368,1,0.8528428094,0,0,0,0,0,0,0,0,0,0.72909699,300,2.9090909091,3.3636363636,3,2.2727272727,2.4545454545,2,2,2.1818181818,1.7272727273,2.125,21.4,30,30,30,52,90,105,180,180,180
1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,508,2.2,2.8,4.5,4.8,5.3,6.3,4.1,4.9,4.2,4.1111111111,27.72,30,30,30,30,48,60,68.4,90,90
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1124,1.46875,1.75,2.34375,3.71875,3.5625,3.4375,3.84375,6.28125,4,3.5757575758,28.7946428571,30,30,30,30,30,34.2946428571,60,88.125,90
0,0,0,0.9946808511,0.9946808511,0.9946808511,0.9893617021,0.9946808511,0.9946808511,0,0.8882978723,0,0,0,0,0.9893617021,0.8882978723,0.9893617021,0.9893617021,0,0,0.9946808511,0,0,0,188,2.125,2.5,1.875,2,1.625,1.875,1.5,2.625,2,1.5,6.3333333333,7.8333333333,30,30,30,30,30,30,50,93.4615384615
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,172,3.1428571429,1.8571428571,2.2857142857,1.4285714286,1.1428571429,1.5714285714,2.4285714286,2.5714285714,2.8571428571,1.8,7,7.6,16.6666666667,30,30,30,30,30,30,40.2631578947
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0.8217054264,130,1.7142857143,1.4285714286,2,2,1.4285714286,1.4285714286,2,1,1.2857142857,1.1333333333,7,11.9230769231,20.7692307692,30,30,30,30,30,30,80.7692307692
0,0,0,0.9975903614,0.9975903614,0.9975903614,0,0.9975903614,0.9975903614,0,0,0,0.9975903614,0.9975903614,0,0,0,0,0,0,0,0,0,0,0.156626506,415,2,2.3888888889,1.6111111111,3.2222222222,2.7222222222,2.7777777778,3.2222222222,1.9444444444,1.0555555556,1,15,30,30,30,30,30,30,30,46.9230769231,72
1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3064,4.2307692308,3.0384615385,7.9615384615,11.1538461538,13.7692307692,14.0384615385,13.3461538462,13.2692307692,14.5384615385,14.7096774194,29.0973154362,30,30,30,49.389261745,60.4026845638,90.9060402685,180,180,180
0,0,0,0.9995402299,0.9993103448,0,0,0.9995402299,0.9995402299,0,0.9995402299,0,0.9995402299,0.9995402299,0,0,0,0,0,0,0,0,0,0,0.763908046,4349,10.8666666667,12.9333333333,24.5666666667,28.8,18.4,11.9333333333,16.8,11.4333333333,2.3333333333,1.3333333333,29.3202764977,30,38.2949308756,69.8847926267,90,119.1705069124,120,120,167.1428571429,180
1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,437,2.2380952381,2.2857142857,2.4761904762,2.3333333333,2.2857142857,1.9047619048,1.2857142857,1.5238095238,1.8095238095,1.6818181818,8.5813953488,15,15,15,15,26.1627906977,30,30,30,30
0,0.8610503282,0,1,1,1,0,1,1,0,0.9037199125,0,1,1,0,0,0,0,0,0,0,0,0,0,0,915,1.5142857143,1.9142857143,2.8285714286,2.4857142857,3.6571428571,2.1714285714,2.3428571429,3.1428571429,2.6285714286,2.3023255814,20.7362637363,30,30,30,30,39.6373626374,60,70.2747252747,90,125.3125
1,0,0,1,1,0,0.9514415781,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,660,1.3333333333,2.9166666667,4,3.0833333333,2.8333333333,2.7916666667,2.7083333333,2.375,2.5,1.5151515152,30,30,30,30,33.1818181818,51.3636363636,60,60,66.3636363636,90
1,0,0,1,1,0.9962406015,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,267,2.8333333333,2.4166666667,1.4166666667,2.5833333333,2.4166666667,2,2,1.9166666667,1.5,1.1666666667,9.8,11.6666666667,16.3333333333,20,20,20,20,24,30,32.7272727273
0,0,0,1,1,1,0,1,1,0,0.3974763407,0,1,1,0,1,1,0,0,0,0,0,0,0,1,318,2,1.4,1.9333333333,2.0666666667,2.0666666667,1.4666666667,2.2,1.5333333333,2.1333333333,2,29.0322580645,30,30,30,30,30.9677419355,80.3225806452,90,90,90
0,0,0,1,1,0,0,1,1,0,0.8301886792,0.1502927781,1,1,1,0,0.9973975277,0.828236825,0,0.8334417697,0.828236825,0.9973975277,1,1,1,1538,2.78125,4,5.1875,6.03125,7.03125,7.21875,6.65625,4.5625,2,1.1818181818,30,30,30,30,42.1568627451,60,85.6862745098,90,124.1176470588,234.7826086957
0,0,0,0.9983660131,0.9983660131,0,0,0.9983660131,0.9983660131,0,0,0,0.9640522876,0,0,0,0,0,0,0,0,0,0,0,0.9983660131,613,3.25,3.9375,3.5,3.125,3.8125,3.75,3.625,3.125,2.875,2.9545454545,1.5737704918,13.7540983607,30,30,30,30,30,30,43.7704918033,60
0,0,0,1,1,0,1,1,1,0,1,0,0,1,0.4208791209,0,0,0,0,0,0,0,0,0,0,1821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.8626373626,30,30,30,34.4505494505,61.6483516484,90,90,111.7582417582,180
1,0,0,1,1,0,0.5609756098,1,1,0,0,0.5609756098,0,1,0,0,0,0,0,0,0,0,0,0,0,165,1,1.7,1.1,1.4,1.6,1.4,1.3,1.8,2,1.8181818182,7,7,11.5,15.3125,28.75,30,30,82.5,90,184.2857142857
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,122,1.8571428571,2.8571428571,2.4285714286,1,1,1,1.5714285714,1,1,1,20.5833333333,30,30,30,30,30,30,40,140.1666666667,180
0,0,0,1,0.9996087637,0.1302816901,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0.0923317684,0,0,0,0,2557,3.2884615385,2.6730769231,5.0384615385,4.5384615385,4.8846153846,4.8461538462,4.5576923077,4.0769230769,9.6923076923,4.1333333333,24.8941176471,30,30,52.1176470588,68.8235294118,90,90,172.5882352941,180,180.6870229008
1,0,0,1,1,1,0.0139211137,1,1,0,1,0.0081206497,0,1,0.0069605568,0.0069605568,0.0069605568,0,0.005800464,0,0.0069605568,0,0.0069605568,0,0,863,2.0740740741,3.5555555556,3.3703703704,3.5555555556,3.4814814815,2.4074074074,3.0740740741,2.5185185185,3.1481481481,2.7027027027,9.0930232558,30,30,30,30,30,54.0697674419,60,68.7209302326,115.2808988764
0.9977099237,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1311,3.3728813559,1.8644067797,1.6440677966,2.0169491525,2.0677966102,2.0677966102,2.6440677966,2.0677966102,2.1016949153,1.8125,30,30,30,30,60.6923076923,90,90,90,158.5384615385,191.0071942446
0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5094339623,107,3.3333333333,2.3333333333,2,1.6666666667,1,1,2,1.6666666667,2,3,24,30,30,30,30,30,30,30,30,30
0,0,0,1,1,0,0,1,1,0,1,0,0.0913461538,1,0,0,0,0,0,0,0,0,0,0,1,209,1.8461538462,1.4615384615,1.5384615385,1.3846153846,1,1.1538461538,1.8461538462,1.5384615385,1.1538461538,1.4761904762,30,30,30,30,30,30,30,30,30,49.6551724138
0,0,0,1,1,0.7543859649,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30,30,74.5161290323,90,142.2580645161,180,180,180,354.1935483871,360
1,0,0,1,1,1,0.9962406015,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,533,3.2727272727,2.0909090909,2.0909090909,2.0909090909,2.4090909091,2.7727272727,2.1818181818,2.7272727273,2.0909090909,1.1851851852,10.7446808511,30,30,30,30,30,30,30,30,55.1020408163
1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2524,7,6.625,6.6875,8,8.4375,7.53125,7.8125,7.8125,7.09375,7.75,30,30,30,30,30,30,30,30,65.2380952381,90
0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1227,5,5.2413793103,4.8965517241,4.6206896552,4.5862068966,4.3448275862,4.3448275862,4.1034482759,2.4482758621,1,30,30,30,30,30,30,30,30,30,30
1,0,0,1,0.0868878357,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1267,10.5454545455,12.8181818182,13.0909090909,13,13.1818181818,16.5454545455,7,7.2727272727,6.6363636364,4.0769230769,27.4841269841,30,37.1428571429,60,90,90,123.5714285714,180,260,291.8796992481
0.7854984894,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,6.2121212121,13.4242424242,30,30,30,30,153.5294117647
0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0.8987341772,474,1.3571428571,1.2857142857,3.3571428571,4.2857142857,3.3571428571,3.2142857143,3.5,2.5714285714,3.1428571429,3.1739130435,15.8936170213,30,48.085106383,104.0425531915,174.2553191489,180,215.7446808511,289.7872340426,345.3191489362,409.4117647059
1,0,1,0.2983725136,1,0,0,1,1,0.4837251356,0.3056057866,0,0,0,0.7287522604,0.6636528029,0.6962025316,0,0,0,0.1980108499,0,0,0,0.5795660036,1106,1,1,4.3214285714,1.75,1.9642857143,2.0714285714,2,5.7142857143,9.1428571429,8.9310344828,58.6545454545,117.3090909091,179.1090909091,180.3,182.7090909091,183.9545454545,258.3727272727,278.1090909091,349.2818181818,406.525862069
0,0,0,1,1,1,0,1,1,0,0.9909228442,0,0,1,0,1,1,1,1,0,1,1,1,1,0.7892082703,1983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.2222222222,30,30,52.1212121212,90,90,148.1818181818,180,308.1818181818,360
0.0052910053,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0.3015873016,0,0,0,0,0,189,1,1.25,1.1666666667,2,1.5,1.25,1.3333333333,1.3333333333,2.0833333333,1.4,3.1666666667,6.1666666667,21.4444444444,36.4444444444,72.2777777778,92.1666666667,158.0555555556,180,180,309.5555555556
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1643,1.0571428571,1.1428571429,1.2,2.5714285714,4.0571428571,3.7428571429,3.7714285714,4.1142857143,4.4571428571,16.7142857143,2,2.8658536585,4.2195121951,29.0548780488,30,30,57.3475609756,90,173.7804878049,235.3293413174
0,0,0,1,1,0,0,1,1,0,1,1,0,0.9812154696,0,0,0,0,0,0,0,0,0,0,0,905,1.5,1.9,2.2,2.6,2.5,2,3.6,5.7,9.3,7.25,26,30,30,86.6666666667,90,168.3333333333,284.3333333333,360,360,360
0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1855,23.7142857143,19,17.8571428571,24.8571428571,27.4285714286,26.7142857143,21.4285714286,21.5714285714,22.1428571429,21.2727272727,30,30,30,30,30,57.4054054054,66.3243243243,90,244.8648648649,581.6842105263
0.1108312343,0,0,1,1,0,0,1,1,0,0,0,0,1,0.0554156171,0.0554156171,0,0,0,0,0,0,0,0,0,1985,1.935483871,2,3.2903225806,3.8064516129,4.7741935484,4.5483870968,8.3870967742,8.3225806452,9.9032258065,13.1944444444,29.7171717172,30,30,30,85.0505050505,90,90,90,90,216.354679803
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0.8145463511,0,0,0,0,0,0,0,0,0,0,20280,2.5,3.3863636364,6.2272727273,4.3863636364,7.3181818182,5.9318181818,39.25,42.2954545455,76.6136363636,237.5510204082,2.0231755424,21.1548323471,49.6893491124,86.3461538462,121.0059171598,173.0621301775,180,180,244.2603550296,912.3964497041
0.9982285208,0,1,0,0.9982285208,0.3525243578,0.9982285208,0.9982285208,0.9982285208,0,0.9982285208,0,0,0.9982285208,0.6386182462,0.9982285208,0,0,0,0,0,0,0,0,0.9982285208,1127,11.4,13.4,10.8,11.6,17,23.2,18.4,21.2,17.2,16.8571428571,30,32.4196428571,45,45,45,46.4732142857,168.75,180,180,261.6806722689
1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,547,2.35,2.9,3.15,2.45,2.75,3.1,3.5,2.75,1.3,1.3571428571,13.4528301887,24.0566037736,30,30,30,30,30,33.9622641509,60,82.5
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1034,1.9655172414,2.4137931034,3.0344827586,3.1034482759,3.6551724138,3.3793103448,3.1724137931,5.3103448276,4.8965517241,3.4838709677,28.9509803922,30,30,30,45.2941176471,60,86.7647058824,90,107.6470588235,229.2452830189
1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2271,1.6111111111,2.7777777778,4.0833333333,4.5,5.5833333333,6.8611111111,8.9166666667,8.4722222222,8.3333333333,8.0869565217,30,30,30,30,30,30,30,56.8281938326,90,90.5263157895
1,0,1,1,1,1,0.9987752603,1,1,1,1,0,0,1,0.895284752,0,0,0,0,0,0,0,0,0,1,1633,1.8285714286,2.4285714286,3.5142857143,4.8571428571,5.4571428571,5.0857142857,5,6.2571428571,5.7428571429,4.8421052632,13.3742331288,22.5153374233,30,30,30,30,47.4846625767,60.5521472393,90,90
0,0,0,1,1,0,1,1,1,0,1,0.9969135802,0,1,0,0,0,0,0,0,0,0,0,0,1,324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.875,48.03125,66.21875,82.40625,83.53125,84.6875,85.28125,124.875,176.15625,178.3888888889
0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0.8879310345,0.8879310345,0.8879310345,0.8879310345,0,0.8620689655,0,0,0,0,116,1,1,1.1428571429,1.1428571429,1.7142857143,1.4285714286,1.4285714286,2,1.5714285714,1.1333333333,9.1818181818,10,10,10,10,15.9090909091,60,60,65.4545454545,105.8823529412
1,0,0,1,1,1,1,1,1,0,0.9984,1,0,1,0,0,0,0,0,0,0,0,0,0,0,625,1.1363636364,1.0454545455,1.5,1.9090909091,2.6818181818,1.9545454545,3.0454545455,5.0454545455,5.6818181818,3.08,32.3225806452,62.4193548387,103.5483870968,180,204.6774193548,347.4193548387,360,360,360,445.9701492537
0,1,0,1,1,0.9746915533,0.2853527365,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,3161,2.2325581395,2.2558139535,4.7441860465,11.8837209302,18.2325581395,7.0465116279,8.3720930233,7.6511627907,6.023255814,3.3863636364,0,0,0,0,0,0,0,0,0,0
0,0,0,0.9892822345,0.9892822345,0,0,0.9892822345,0.9892822345,0,0.9892822345,0,0.2676193569,0.9892822345,0,0,0,0,0,0,0,0,0,0,0,3079,2.9655172414,11.1034482759,14.6206896552,15.4482758621,14.275862069,15.0689655172,16.3793103448,8.0344827586,1.9310344828,2,5.0460526316,14.9111842105,15,15.0328947368,16,17.4440789474,22.7664473684,30,53.6842105263,81.8709677419
